seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
1	1	no_text				मङ्गलाचरणम्	மங்களாசரணம்		
2	3	unmatched				प्रतिज्ञा	ப்ரதிக்ஞை		
3	3	unmatched				धर्मप्रमाणानि	தர்மப்ரமாணங்கள்		
4	6	confirmed	6	7	0.91	स्मृतिप्रामाण्यम्	ஸ்ம்ருதிப்ராமாண்யம்	स्मृतेः प्रामाण्यम्	
5	8	unmatched				धर्मः	தர்மம்		
6	10	unmatched				शिष्टाः	சிஷ்டர்கள்		
7	12	unmatched				धर्मानुष्ठानफलम्	தர்மாநுஷ்டான பலம்		
8	14	confirmed	14		1.00	आचारप्रशंसा	ஆசாரப்ரசம்ஸை	आचारप्रशंसा	
9	18	unmatched				सदाचारः	ஸதாசாரம்		
10	20	confirmed	20		1.00	स्मृत्यादिप्रशंसा	ஸ்ம்ருத்யாதிப்ரசம்ஸை	स्मृत्यादिप्रशंसा	
11	24	unmatched				श्रुतिः स्मृतिश्च	ச்ருதி - ஸ்ம்ருதி		
12	29	unmatched				स्मृत्यादिकर्तारः	ஸ்ம்ருத்யாதி கர்த்தாக்கள்		
13	32	unmatched				पूर्वापरसूत्राणि	பூர்வாபர ஸூத்ரங்கள்		
14	33	confirmed	33	33	1.00	धर्मदेशाः	தர்மதேசங்கள்	தர்மதேசங்கள்	
15	35	unmatched				ब्राह्मणवासार्हा देशाः	பிராமணர் வஸிப்பதற்குரிய தேசங்கள்		
16	37	unmatched				सौराष्ट्रादिदेशगमननिषेधः	ஸௌராஷ்ட்ரம் முதலிய தேசங்களுக்குச் செல்லத் தடை		
17	38	confirmed	38		0.94	निषिद्धदेशापवादः	நிஷித்த தேசாபவாதம்	अथ निषिद्धदेशापवादः	
18	40	confirmed	40	40	1.00	युगधर्माः	யுக தர்மங்கள்	युगधर्माः	
19	43	unmatched				कलियुगदोषाः	கலியுக தோஷங்கள்		
20	43	unmatched				युगसामर्थ्यम् -	யுக ஸாமர்த்யம்		
21	50	unmatched				कलौ भगवन्नामकीर्तनम् -	கலியில் பகவன்னாம கீர்த்தனம்		
