seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
1	1	confirmed		2	0.93	ब्राह्मे मुहूर्ते प्रबोधादि -	விடியற்காலையில் எழுந்திருப்பது முதலியவை	விடியற்காலத்தில் எழுந்திருப்பது முதலியவை	
2	7	confirmed	7	8	0.87	प्रबोधोत्तरजप्यानि	விழித்ததும் ஜபிக்க வேண்டிய மந்த்ரங்கள்	விழித்த பிறகு ஜபிக்கவேண்டிய மந்திரங்கள்	
3	9	confirmed	9		0.91	प्रातर्दर्शनीयानि अदर्शनीयानि	விழித்ததும் காணத் தக்கவை - தகாதவை	प्रातर्दर्शनीयान्यदर्शनीयानि च ।	
4	10	confirmed	10	11	1.00	बहिर्विहारः शौचं च -	வெளியில் ஸஞ்சாரம் சௌசம்	வெளியில் ஸஞ்சாரம் - சௌசம்	
5	15	contradicted	26	27	1.00	शौचविधिः -	சௌசவிதி	शौचविधिः	contents says 15, the heading stands on 26
6	47	confirmed	47		1.00	गण्डूषविधिः	கண்டூஷ (வாய் கொப்புளித்தல் முறை)	गण्डूषविधिः-	
7	48	confirmed	48		1.00	आचमनविधिः -	ஆசமனமுறை	आचमनविधिः	
8	73	confirmed	73	74	1.00	आचमनप्रशंसा -	ஆசமனத்தின் பெருமை	आचमनप्रशंसा ।	
9	84	confirmed	84	84	1.00	कुशप्रशंसा -	குசத்தின் பெருமை	कुशप्रशंसा ।	
10	100	confirmed	100	101	0.97	दर्भाहरण कालनियमः -	தர்ப்பம் கொணர காலநியமம்	दर्भाहरणकालनियम: ॥	
11	105	confirmed	105	105	1.00	वर्जनीयदर्भाः -	விலக்கத்தக்க தர்ப்பங்கள்	वर्जनीयदर्भाः	
12	106	confirmed	106	106	1.00	दर्भसंख्या -	தர்ப்பங்களின் ஸங்க்யை	தர்ப்பங்களின் ஸங்க்யை	
13	106	confirmed	106	107	1.00	आचमननिमित्तानि -	ஆசமந நிமித்தங்கள்	आचमननिमित्तानि ।	
14	113	confirmed	113	114	1.00	द्विराचमननिमित्तानि	இருமுறை ஆசமன நிமித்தங்கள்	द्विराचमननिमित्तानि ।	
15	118	confirmed	118	118	1.00	आचमनापवादः	ஆசமனத்திற்கு விலக்கு	ஆசமனத்திற்கு விலக்கு	
16	131	confirmed	131	132	1.00	दन्तधावनविधिः	பல் துலக்கும்முறை	दन्तधावनविधिः ।	
17	134	confirmed	134		1.00	दन्तधावनकाष्ठानि	பல் துலக்கக் குச்சிகள்	दन्तधावनकाष्ठानि ।	
18	149	confirmed	149	149	1.00	स्नानविधिः	ஸ்நானவிதி	ஸ்நானவிதி	
19	174	confirmed	174	175	1.00	वासः परिधानम्	வஸ்த்ரதாரணம்	வஸ்த்ரதாரணம்	
20	185	confirmed	185	186	1.00	स्नानभेदाः	ஸ்நான பேதங்கள்	॥ स्नानभेदाः ॥	
21	187	confirmed	187	188	1.00	माध्याह्निकस्नानम्	மாத்யாந்ஹிக ஸ்நானம்	माध्याह्निकस्नानम् ।	
22	189	confirmed	189	190	1.00	स्नानार्हजलानि	ஸ்நானத்திற்குரிய ஜலங்கள்	स्नानार्हजलानि ॥	
23	199	confirmed	199	200	1.00	समुद्र स्नानम्	ஸமுத்ர ஸ்நானம்	समुद्रस्नानम्	
24	203	confirmed	203	203	1.00	वर्ज्योदकम्	பரிஹரிக்கத் தக்க ஜலம்	वर्ज्योदकम्	
25	208	confirmed	208		0.93	मृदाद्याहरणम्	மிருத்திகை முதலியதைச் சேகரித்தல்	॥ अथ मृदाद्याहरणम् ॥	
26	229	confirmed	229	230	1.00	नैमित्तिकस्नानम्	நைமித்திக ஸ்நானம்	नैमित्तिकस्नानम् ।	
27	259	confirmed	259	259	1.00	ग्रहणस्नानम्	க்ரஹண ஸ்நானம்	ग्रहणस्नानम् ।	
28	267	confirmed	267	268	1.00	संक्रान्ति स्नानम्	ஸங்க்ராந்தி ஸ்நானம்	ஸங்க்ராந்தி ஸ்நானம்	
