seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
1	1	no_text				आशौचम् -	ஆசௌசம்		
2	4	confirmed	4	4	0.86	आशौचे सन्ध्योпасनादि -	ஆசௌசத்தில் ஸந்த்யா உபாஸனம் முதலியவை.	ஆசௌசத்தில் ஸந்த்யோபாஸநம் முதலியது	
3	7	no_text				त्याज्यकर्माणि -	தவிர்க்கத் தக்கவை.		
4	18	confirmed	18		1.00	पुत्रजन्मनि दानाभ्यनुज्ञा -	புத்ரன் பிறந்தால் தானம் முதலியவை	पुत्रजन्मनि दानाभ्यनुज्ञा ।	
5	19	confirmed	19		0.86	अनेकविधं आशौचम् =	ஆசௌசம் பலவகை	अनेकविधाशौचम् ।	
6	20	confirmed	20		1.00	सद्यः शौचम् -	உடன் சுத்தி	सद्यः शौचम् ।	
7	23	unmatched				श्राद्धादिमध्ये कर्त्रादीनामाशौचे -	சிராத்தம் முதலியவற்றின் இடையே கர்த்தா முதலியவருக்கு ஆசௌசம் நேர்ந்தால்		
8	33	unmatched				विवाहमध्ये आशौचे -	விவாஹத்தின் நடுவில் ஆசௌசம்		
9	34	unmatched				दीक्षितस्य दीक्षामध्ये -	தீக்ஷிதனுக்கு தீக்ஷா காலத்தில்		
10	37	confirmed	37		0.92	अघागमात्प्राक् सञ्चितद्रव्याणां दोषाभावः -	தீட்டுவருமுன் சேமித்த பொருட்களுக்குத் தோஷமில்லை	अघागमात् प्राक् संकल्पितद्रव्याणां दोषाभावः ।	
11	39	confirmed	39		1.00	भृगुपातादिना मृतौ -	மலையிலிருந்து நழுவி மரணம்	भृगुपातादिना मृतौ ।	
12	41	unmatched				सन्न्यस्तादिमृतिः -	ஸந்யாஸி முதலியவரின் மரணம்		
13	42	unmatched				आशौचिनां ग्रहण स्नानम् -	தீட்டாளனுக்கு கிரஹண ஸ்நானம்		
14	42	confirmed		43	0.84	जामातृदौहित्रादिमृतौ -	மாப்பிள்ளை தௌஹித்ரன் முதலியவரின் மரணத்தில்	மாப்பிள்ளை, தௌஹித்ரன், மருமான் முதலியவரின் ம்ருதியில்.	
15	43	confirmed	43		1.00	राष्ट्रक्षोभादिना मृतौ -	நாட்டுக் குழப்பத்தால் மரணத்தில்	राष्ट्रक्षोभादिना मृतौ	
16	44	unmatched				शिल्पिवैद्यादिमृतौ सद्यः शौचम् -	சில்பிவைத்யன் முதலியவரின் மரணத்தில் உடன் சுத்தி		
17	48	unmatched				ब्राह्मणगोभूम्याद्यर्थे मृतौ -	பிராமணன் பசு பூமி முதலியவற்றிற்கான மரணத்தில்		
18	51	unmatched				वैध प्रायादि आत्महत्यायाम् -	விதிப்படி பிராயோபவேசம் முதலிய தற்கொலையில்		
19	59	unmatched				आहिताग्निदुर्मरणे -	ஆஹிதாக்னி துர்மரணத்தில்		
20	65	unmatched				आशौचकालादूर्ध्वं मरणश्रवणे -	தீட்டுக்குரிய காலத்திற்குப் பின் மரணம் கேள்விப்பட்டால்		
21	66	unmatched				गर्भस्रावादौ -	கருக்கலைதல் முதலியவற்றில்		
22	75	confirmed	75		1.00	सूतिकाशौचम् -	பிரஸவத் தீட்டு	सूतिकाशौचम्	
23	83	confirmed	83		1.00	वर्णविशेषाशौचम् -	வர்ணங்களுக்கேற்ற தீட்டு	वर्णविशेषाशौचम्	
24	86	confirmed	86		0.92	अनुलोमप्रतिलोमाशौचं -	அனுலோம பிரதிலோம ஜாதியினருக்கு தீட்டு	अनुलोमप्रतिलोमाशौचम्	
25	89	confirmed	89		1.00	समानोदकाशौचम् -	ஸமாநோதகர் தீட்டு	समानोदकाशौचम्	
26	90	confirmed	90	90	1.00	सजातीय सापिण्ड्यम् -	ஸஜாதி ஸாபிண்டயம்	सजातीयसापिण्ड्यम्	
27	93	unmatched				सगोत्रेषु व्यवस्था -	ஸகோத்ரர்களுக்கான நிலை		
28	94	confirmed	94		0.95	विजातीयसापिण्ड्यं कन्यासापिण्ड्यं -	விஜாதீயர் .....கன்னியைகளுக்கான ஸபிண்ட நிலை	विजातीयसापिण्ड्यं कन्यासापिण्ड्यम् ।	
29	101	unmatched				जननाशौचम् -	பிறப்புத் தீட்டு		
30	115	confirmed	115		1.00	आशौचिनामन्योन्यस्पर्शनिषेधः -	ஆசௌசிகள் ஒருவருக்கொருவர்தொடத் தடை	आशौचिनामन्योन्यस्पर्श निषेधः ।	
31	120	unmatched				शिशुमरणाशौचम् -	சிசு மரண ஆசௌசம்		
32	139	confirmed	139		1.00	खननादिसंस्कारभेदेनाशौचभेदः -	புதைத்தல் முதலிய ஸம்ஸ்காரத்திற்கேற்ப தீட்டு	खननादिसंस्कारभेदेनाशौचभेदः	
33	155	confirmed	155		1.00	अनुपनीतमरणाशौचम् -	உபநயனமாகாதவனின் மரணத்தில்	अनुपनीत मरणाशौचम् ।	
34	157	confirmed	157		0.94	नामकरणादि संस्कार निबन्धनाशौचक्रमः -	நாமகரணம் முதலிய ஸம்ஸ்காரத்தில்கேற்பத் தீட்டு	नामकरणादिसंस्कारनिबन्धनाद्याशौचक्रमः	
35	159	confirmed	159		1.00	खननादिसंस्कार व्यवस्था -	புதைத்தல் முதலியவற்றின் முறை	खननादि संस्कारव्यवस्था ।	
36	173	confirmed	173		0.93	कन्यामरणाशौचम् -	கன்னிப் பெண்ணின் மரணத்தில் தீட்டு	कन्यामरणआशौचम्	
37	179	unmatched				ऊनद्विवर्षाया: ऊढाया: संस्कार: -	இரண்டு வயது நிறைவாகாது மணம் புரிந்தவளின் ஸம்ஸ்கார முறை		
38	181	confirmed	181		0.89	स्वगृहे पुत्रीप्रसवादिना आशौचम् -	தன் வீட்டில் புத்திரியின் ப்ரஸவம் முதலியவற்றால் தீட்டு	स्वगृहे पुत्रीप्रसवादिनिमित्ताशौचम्	
39	187	confirmed	187		1.00	उपनीताशौचम् -	உபநயனமானவனுக்கான தீட்டு	उपनीताशौचम्	
40	199	unmatched				अनौरसपुत्रजननादौ -	ஔரஸனல்லாத புத்திர ஜனனத்தில்		
41	204	unmatched				दत्तविषये -	ஸ்வீகாரம் கொடுத்தவன் விஷயத்தில்		
42	210	confirmed	209		1.00	विवाहितस्त्रीविषये पित्राद्याशौचम् -	மணமான மகளின் மரணத்தில் தந்தை முதலியவருக்கு தீட்டு	विवाहितस्त्रीविषये पित्राद्याशौचम्।	
43	211	unmatched				दौहित्रमातामहादिविषये -	தௌஹித்ரன் மாதாமஹன் முதலானவரின் மரணத்தில்		
44	219	confirmed	218		1.00	पक्षिण्याशौचम् -	பக்ஷிணித் தீட்டு	पक्षिण्याशौचम्	
45	226	unmatched				भिन्नमातृष्वस्त्रादिमरणे -	ஒன்றுவிட்ட தாயின் ஸஹோதரி முதலியவரின் மரணத்தில்		
46	229	confirmed	229		1.00	एकदिनाशौचम् -	ஒரு நாள் தீட்டு	एकदिनाशौचम्	
47	234	unmatched				अनेकाशौचसन्निपाते -	ஒரே சமயத்தில் பல தீட்டுகள் சேர்ந்தால்		
48	251	confirmed	251		1.00	अज्ञातिदाहाशौचम् -	ஞாதி அல்லாதவரின் ஈமச்சடங்கால்	अज्ञातिदाहाशौचम्	
49	252	unmatched				आशौचशेषन्यायापवाद: -	ஒரு தீட்டில் வேறு தீட்டு மறையாத நிலை		
50	253	confirmed		253	0.88	आशौचमध्ये जातकर्मादि -	ஆசௌசத்தின் நடுவில் ஜாதகர்மாதிகளைச் செய்யலாம்.	ஆசௌசத்திலும் ஜாதகர்மாதி களைச் செய்யலாம்	
51	254	confirmed		254	0.88	दूरदेशस्थसपिण्डमरणे -	தூரதேசத்திலுள்ள ஸபிண்டனின் மரணத்தில்	தூரதேசத்தில் உள்ள ஸபிண்டனின் மரணத்தில் ஆசௌசம்	
52	256	confirmed	256		1.00	अतिक्रान्ताशौचम् -	காலம் கடந்த ஆசௌசம்	अतिक्रान्ताशौचम्	
53	271	confirmed	271	271	1.00	सपत्नीमातृविषये -	ஸபத்நீ மாதா விஷயத்தில்	सपत्नीमातृविषये ।	
54	271	confirmed	271	272	1.00	भ्रातृविषये -	ப்ராதா விஷயத்தில்	भ्रातृविषये ।	
55	273	confirmed	273	274	1.00	पुनः संस्कारे विशेषः -	மறுபடி ஸம்ஸ்காரத்தில் விசேஷம்	पुनः संस्कारे विशेषः	
56	288	confirmed	288		0.89	रात्रौ जन्ममृतिसंभवे दिननिर्णयः -	ராத்திரியில் ஜனனம் ருது மரணம் நேர நாள் நிர்ணயம்.	रात्रौ जन्मर्तुमृतिसम्भवे दिननिर्णयः	
57	290	confirmed	290		0.89	संपर्काशौचम् द्रव्यादीनां अतिक्रान्ताशौचाभावश्च -	ஸம்பர்கா சௌசம் - திரவ்யாதிகளுக்கு अतिक்ராந்தா சௌசமின்மை	सम्पर्कशौचं द्रव्यादीनामतिक्रान्ताशौचाभावश्च ।	
58	293	confirmed	293	294	1.00	अन्तः शवग्रामाशौचम् -	அந்தச் சவகிராமா சௌசம்	अन्तःशवग्रामाशौचम् ।	
59	297	unmatched				अनुगमनाशौचम् -	அனுகமநா சௌசம்		
60	306	confirmed	306		0.88	असपिण्डसजातीयप्रेतनिर्हरणे -	ஸபிண்டனல்லாத ஸஜாதி பிரேத நிர்ஹரணத்தில்	असपिण्डसजातीयप्रेतनिर्हरणाशौचम् ।	
61	309	unmatched				पर्युषित समानोदक - असवर्णशवनिर्हरणे -	பர்யுஷிதம் ஸமாநோதகம், அஸவர்ணமான சவநிர்ஹரணத்தில்		
62	313	confirmed	313		0.98	गर्भवतः ब्रह्मचारिणश्च पित्राद्यन्यशवनिर्हरणनिषेधः -	மனைவி கருவுற்றிருக்கும்போதும் பிரும்மசாரிக்கும் சவ நிர்ஹரணத் தடை	गर्भवत: ब्रह्मचारिणश्च पित्राद्यन्यशव निर्हरणनिषेध: ।	
63	317	unmatched				धर्मार्थशवनिर्हरणे मानुषस्थिस्पर्शे च -	தர்மத்திற்காக சவநிர்ஹரணம் செய்தலில் மனித எலும்பு ஸ்பர்சத்தில்		
64	319	confirmed	319		0.95	आशौचिनां देवालयादि प्रवेशादिनिषेधः -	ஆசௌசி தேவாலயம் முதலியவற்றில் நுழையத் தடை	आशौचिनां देवालयप्रवेशादि निषेधः ।	
65	320	confirmed	320		1.00	एकादश्युपवासे -	ஏகாதசி உபவாஸத்தில்	एकादश्युपवासे	
66	321	confirmed		321	0.81	शावाशौचिनियमाः -	சாவாசௌசிகளின் நியமங்கள்	சாவாசெளசிகளுக்கு நியமங்கள்	
67	322	confirmed	321	322	1.00	अघान्तकृत्यम् -	தீட்டின் முடிவில் செய்ய வேண்டியது	अघान्तकृत्यम्	
