seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
1	1	no_text				आब्दिकम् - मृतितिथौ	ஆப்திகம் - மரண திதியில்		
2	2	unmatched				पार्वण श्राद्धविधि:	பார்வண சிராத்த முறை		
3	3	unmatched				तिथि: मुख्या	திதி முக்கியம்		
4	4	unmatched				सौरचान्द्रादिमानम्	ஸௌரசாந்திராதிமானங்கள்		
5	26	confirmed	26	26	0.88	सौरमासे तिथिद्वये	ஸௌரமாஸத்தில் இரு திதிகள் நேர்ந்தால்	ஸௌர மாஸத்தில் இரண்டு திதிகள் வந்தால்.	
6	38	unmatched				सौरतिथ्यभावे चान्द्रतिथि:	ஸௌரமானப்படி திதி நேராதிருந்தால் சாந்திரமான திதி		
7	40	confirmed		41	0.82	आब्दिकाकरणे दोष:	ஆப்திகம் செய்யாவிடில் தோஷம்	ஆப்திகம் செய்யாவிடில் ப்ரத்யவாயம்.	
8	43	unmatched				श्राद्धार्हकाल निर्णय:	சிராத்தத்திற்கேற்ற நேரம்		
9	56	unmatched				पार्वणादि श्राद्धकाल:	பார்வணம் முதலிய சிராத்த காலம்		
10	81	unmatched				प्रथमाब्दिक श्राद्धनियम:	முதல் ஆப்திக நியமம்.		
11	83	unmatched				आब्दिकश्राद्धं अन्नेनैव	ஆப்திகம் அன்ன சிராத்தம்		
12	86	unmatched				रजस्वलाया: श्राद्धनियम:	ரஜஸ்வலையின் சிராத்த நியமம்		
13	89	unmatched				विघ्ने जाते कृष्णपक्षैकादश्यादौ करणं	தடை நேர்ந்தால் கிருஷ்ணபக்ஷ ஏகாதசி முதலிய காலம்.		
14	90	unmatched				आशौचेन विघ्ने	ஆசௌசத்தால் தடைப்பட்டால்		
15	92	unmatched				ग्रहणादिना विघ्ने	கிரஹணம் முதலியவற்றால் தடைப்பட்டால்		
16	97	confirmed	97		0.91	श्राद्धे उद्देश्या:	சிராத்தத்திற்கு உரியவர்	श्राद्धोद्देश्या:	
17	115	unmatched				अनुमरणे आब्दिकम् -	அனுமரணத்தில் சிராத்தம்		
18	119	unmatched				मासिकाब्दिकादौ परेऽहनि तर्पणम् -	மாஸிகம், ஆப்திகம் முதலியதில் மறுநாள் தர்ப்பணம்		
19	121	unmatched				मलमासः, तत्र कार्यं कर्म -	மலமாஸம், அதில் செய்யத் தக்கது		
20	148	unmatched				अधिकमासे मासिकादिः -	அதிகமாஸத்தில் மாஸிகம் முதலியவை		
21	159	unmatched				मल-ऊनमासे मृतस्य श्राद्धम् -	மல ஊன மாஸங்களில் இறந்தவனது ஆப்திகம்		
22	162	unmatched				मलमासे महालयश्राद्धादिनिषेधः -	மலமாஸத்தில மஹாளயம் முதலியவற்றிற்குத் தடை		
23	169	unmatched				काम्यकर्मणां मलमासे निषेधः -	காம்ய கர்மங்களுக்கு மலமாஸத்தில் தடை		
24	175	unmatched				गुरुशुक्रमौढ्ये -	குருசுக்ர மௌட்யத்தில்		
25	178	unmatched				दर्शश्राद्धं, तत्र देवताः -	தர்ச சிராத்தம் அதில் தேவதை		
26	182	unmatched				दर्शे मातामहादिवरणम् -	தர்சத்தில் மாதாமஹர் முதலானோருக்கு வரணம்		
27	183	unmatched				स्त्रीवर्गः नोद्दिष्टः -	ஸ்திரீ வர்கத்திற்கு தனி நிலையின்மை		
28	185	unmatched				विधवाकर्तृकश्राद्धे उद्देश्याः -	விதவை செய்கிற சிராத்தத்தில் பங்கு பெறுபவர்		
29	189	unmatched				दर्शश्राद्धे तिलोदकम् -	தர்சத்தில் எள்ளும் நீரும்		
30	190	unmatched				दर्शे आब्दिकसंभवे -	அமாவாஸ்யையில் ஆப்திகம்		
31	190	unmatched				पितरि जीवति मातुः दर्शादिनिषेधः -	தந்தையின் ஜீவதசையில் தாய்க்குத் தர்ப்பணமில்லை		
32	195	unmatched		179	0.86	दर्शश्राद्धकालः -	தர்ச சிராத்தநேரம்	தர்ச சிராத்த நிர்ணயம்.	nearest heading is on 179 and reads 'தர்ச சிராத்த நிர்ணயம்.' — too unlike to call
33	217	confirmed		218	0.82	अमावास्यायां योगविशेषा:	அமாவாஸ்யையில் தனித்த யோகங்கள்	அமாவாஸ்யையில் யோகபேதங்கள்	
34	219	unmatched				अर्धोदयमहोदयौ	அர்த்தோதயம், மஹோதயம்		
35	222	unmatched				अष्टकाश्राद्धम्	அஷ்டகா சிராத்தம்		
36	226	unmatched				महालयश्राद्धम्	மஹாளய சிராத்தம்		
37	255	unmatched				महालये उद्देश्या:	மஹாளயத்தில் தேவதைகள்		
38	257	unmatched				कारुणिकपितर:	காருணிக பித்ருக்கள்		
39	261	unmatched				नान्दीश्राद्धम्	நாந்தீ சிராத்தம்		
40	265	unmatched				मातृगणपूजा	மாத்ருகணபூஜை		
41	281	confirmed	281		0.96	श्राद्धभेदा:	சிராத்தங்களின் வேறுபாடு	श्राद्धभेदाः ।	
42	286	confirmed	286	286	0.87	श्राद्धदेश:	சிராத்த தேசம்	अथ श्राद्धदेशा:	
43	295	confirmed	295	295	0.95	श्राद्धकाल:	சிராத்த காலம்	श्राद्धकाला:	
44	299	unmatched				युगादि-मन्वादि-काम्यश्राद्धविधि:	யுகாதிமன்வாதி காம்ய சிராத்தமுறைகள்		
45	315	unmatched				निमन्त्रणार्हा:	சிராத்தத்தில் வரிக்கத் தக்கவர்கள்		
46	370	unmatched				गयाश्राद्धविधि:	கயா சிராத்த முறை		
47	371	confirmed	371		1.00	श्राद्धपूर्वदिनकृत्यम्	சிராத்தத்தின் முதல்நாள் நடைமுறை	श्राद्धपूर्वदिनकृत्यम्।	
