seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
1	1	no_text				गायत्रीजपविधिः	காயத்ரீ ஜபவிதி		
2	26	unmatched				जपयोग्या अक्षमाला	ஜபத்திற்கான அக்ஷமாலை		
3	34	unmatched				सूर्योपस्थानम्	ஸூர்ய உபஸ்தானம்		
4	38	unmatched				सन्ध्यादि देवतावन्दनम्	ஸந்தியா முதலிய தேவதை வந்தனம்		
5	42	unmatched				उपस्थानमन्त्रार्थः	உபஸ்தான மந்திரப் பொருள்		
6	51	unmatched				पापक्षयाद्यर्थे जप्या मन्त्राः	பாபம் நீங்க மந்திர ஜபம்		
7	63	confirmed	63	64	1.00	काम्यानि जप्यानि	காம்ய ஜப மந்திரங்கள்	काम्यानि जप्यानि	
8	71	confirmed	71	71	1.00	जपयज्ञप्रशंसा	ஜபயஜ்ஞ ப்ரசம்ஸை	जपयज्ञप्रशंसा	
9	72	unmatched				अभ्युक्षणाहरणम्	ப்ரோக்ஷிக்க நீர் கொணர்தல்		
10	77	confirmed	77	77	1.00	होमविधिः	ஹோமவிதி	होमविधिः	
11	91	confirmed	91	91	1.00	होमकालः	ஹோம காலம்	ஹோமகாலம்	
12	92	unmatched				होमयोग्याः समिधः	ஹோமத்திற்கேற்ற ஸமித்துக்கள்		
13	110	unmatched				हविर्लक्षणम्	ஹவிஸ் லக்ஷணம்		
14	114	unmatched				आहुतिपरिमाणम्	ஆஹுதியின் அளவு		
15	120	unmatched				अग्निजिह्वाः	அக்னியின் நாக்குகள்		
16	124	unmatched				अग्निधारणे नियमः	அக்னியைக் காக்க நியமம்		
17	129	unmatched				आत्मसमारोपणम्	ஆத்ம ஸமாரோபணம்		
18	130	unmatched				विधुराग्निसन्धानम्	விதுராக்னி ஸந்தானம்		
19	131	unmatched				होमप्रशंसा	ஹோமப் பெருமை		
20	133	unmatched				मङ्गलद्रव्यदर्शनम्	மங்களப் பொருள் காணல்		
21	136	confirmed	136		1.00	ब्रह्मयज्ञविधिः	பிரும்ம யஜ்ஞ முறை	ब्रह्मयज्ञविधिः	
22	141	unmatched				अध्ययनानध्ययने	அத்யயனமும் அநத்யயனமும்		
23	166	unmatched				अह्नो द्वितीयभागकृत्यम्	பகலின் இரண்டாவது பகுதியின் நடைமுறை		
24	170	unmatched				तृतीयभागकृत्यम्	மூன்றாவது பகுதியின் நடைமுறை		
25	171	unmatched				चतुर्थभागकृत्यम्	நான்காவது பகுதியின் நடைமுறை		
26	174	unmatched				देवर्षिपितृतर्पणम्	தேவர்ஷி பித்ருதர்பணம்.		
27	183	unmatched				वसुरुद्रादित्याः	வஸுருத்ர ஆதித்யர்கள்		
28	185	unmatched				तर्पणक्रमः	தர்பண முறை		
29	189	confirmed	189		1.00	तर्पण प्रशंसा	தர்பணத்தின் பெருமை	तर्पणप्रशंसा	
30	193	unmatched				मन्वादियुगादि तर्पणम्	மன்வாதி - யுகாதி தர்பணம்		
31	197	unmatched				दर्शादि पितृतर्पणयोग्यः कालःनियमश्च	தர்சம் முதலிய பித்ரு தர்பணத்திற்குரிய காலநியமங்கள்		
32	202	confirmed	202	203	1.00	देवपूजनम्	தேவபூஜை	देवपूजनम्	
33	208	unmatched				विष्णुपूजाप्रकारः	விஷ்ணு பூஜை முறை		
34	208	unmatched				पुरुषसूक्तादिना पूजनम्	புருஷஸூக்தம் முதலியவற்றால் பூஜை		
35	217	unmatched				उपचारफलम्	உபசாரங்களின் பயன்		
36	219	unmatched				पूजार्हाणि पुष्पाणि	பூஜைக்கேற்ற பூக்கள்		
37	225	unmatched				निवेदनार्हाणि	நிவேதனத்திற்கேற்றவை		
38	226	unmatched				प्रणामविशेषाः	நமஸ்கார வகைகள்		
39	229	unmatched				पूजासमाप्तिः	பூஜை முடிவு		
40	236	confirmed	236	237	1.00	धनुर्मासपूजा	தனுர்மாஸ பூஜை	தனுர்மாஸ பூஜை	
41	239	confirmed	239	239	1.00	शिवपूजा	சிவபூஜை	शिवपूजा	
42	249	contradicted	242		1.00	शिवपूजाप्रशंसा	சிவபூஜையின் பெருமை	शिवपूजाप्रशंसा ।	contents says 249, the heading stands on 242
43	248	confirmed	248	249	1.00	हरिहरपूजा	ஹரிஹர பூஜை	हरिहरपूजा ॥	
44	249	unmatched				पञ्चायतनादि पूजाक्रमः	பஞ்சாயதனம் முதலிய பூஜை முறை		
45	252	confirmed	252	253	1.00	पञ्चमहायज्ञाः	ஐந்து மஹாயஜ்ஞங்கள்	पञ्चमहायज्ञाः	
46	258	unmatched				वैश्वदेवहोमः	வைச்வதேவ ஹோமம்		
47	270	confirmed	270	270	1.00	बलिहरणम्	பலிஹரணம்	बलिहरणम्	
48	308	confirmed	308	309	1.00	आतिथ्यम्	அதிதி பூஜை	आतिथ्यम्	
49	347	confirmed	347	347	1.00	भोजनम्	போஜனம்	भोजनम्	
50	368	unmatched				प्राणाहुतिः	ப்ராணாஹுதி		
51	381	confirmed	381	381	1.00	भोजननियमाः	போஜன நியமங்கள்	भोजननियमाः	
52	415	unmatched				भोज्याभोज्यविवेकः	சாப்பிடத் தக்கவை - தகாதவை		
53	452	unmatched				भोजनकालः	போஜன காலம்		
54	458	confirmed	458		1.00	भक्ष्यमांसानि	சாப்பிடத் தக்க மாமிச உணவு	भक्ष्यमांसानि ।	
55	464	confirmed	464	464	1.00	उत्तरापोशनादि	உத்தராபோசனம் முதலியவை	उत्तरापोशनादि।	
56	472	unmatched				भोजनानन्तरं करणीयानि	உண்ட பிறகு செய்யத் தக்கவை		
57	477	unmatched				ताम्बूलचर्वणम्	தாம்பூலம் சுவைத்தல்		
58	478	unmatched				सायं सन्ध्योपासनम्	ஸாயம் ஸந்த்யா உபாஸனம்		
59	480	unmatched				रात्रिचर्या	இரவு நடைமுறை		
60	485	unmatched				शयनविधिः	படுக்கை முறை		
61	492	confirmed		492	0.88	अवशिष्टधर्माः	பொது நன்னெறிகள்	பொது நன்னெறி	
62	531	confirmed	531		1.00	द्रव्यशुद्धिप्रकरणम्	திரவிய சுத்தி	द्रव्यशुद्धिप्रकरणम्	
63	532	unmatched				शुद्धिहेतुः	சுத்திக்குக் காரணம்		
64	533	unmatched				अशुद्धिहेतुः	அசுத்திக்குக் காரணம்		
65	534	unmatched				शुद्धिक्रमः	சுத்திமுறை		
