seq	printed_page	grade	found_sa	found_ta	ratio	sa	ta	matched	note
1	1	unmatched				मुमुर्षो: आतुरस्य स्नानविधि: ।	மரணத் தருவாயில் ஸ்நானவிதி		
2	3	confirmed	3	3	0.96	पुण्ड्रविधि: -	புண்டிரவிதி	पुण्ड्रविधिः	
3	5	confirmed	5	5	1.00	सर्वप्रायश्चित्तम् -	ஸர்வபிராயச்சித்தம்	सर्वप्रायश्चित्तम्	
4	5	unmatched				कृच्छ्रं तत्प्रतिनिधि: -	க்ருச்ரம் - பிரதிநிதி		
5	9	unmatched				प्रायश्चित्तकर्ता -	பிராயச்சித்தகர்த்தா		
6	12	unmatched				भगवन्नामकीर्तनं -	பகவந்நாம கீர்த்தனம்		
7	13	unmatched				दानानि -	தானங்கள்		
8	17	unmatched				कर्णमन्त्रजप: -	கர்ணமந்திர ஜபம்		
9	19	confirmed	19		0.92	मरणदिनगुणदोषा: -	மரணதின குணதோஷம்	मरणदिनगुणदोषौ ।	
10	23	unmatched				अशुद्धिप्रायश्चित्तम् -	அசுத்தி பிராயச்சித்தம்		
11	25	unmatched	32		0.80	दुर्मरणे प्रायश्चित्तम् -	துர்மரண பிராயச்சித்தம்	निशादिमरणप्रायश्चित्तम्	nearest heading is on 32 and reads 'निशादिमरणप्रायश्चित्तम्' — too unlike to call
12	35	confirmed	35		0.95	कर्तृक्रम: -	கர்த்தா வரிசை	कर्तृक्रमः	
13	70	unmatched				पत्नी रजस्वला -	மனைவி வீட்டு விலக்கு		
14	87	confirmed	87	87	0.96	अग्नि निर्णय: -	அக்நி நிர்ணயம்	अग्निनिर्णयः	
15	125	confirmed	124	125	0.83	प्रेताग्निसन्धानम् -	பிரேதாக்நிஸந்தானம்	ப்ரேதாக்னி ஸந்தாநம்	
16	137	unmatched				उपवीत-निवीत नियमः -	உபவீத நிவீத நியமம்		
17	147	unmatched				प्रेतनिर्हरणम् -	பிரேதத்தை வெளியேற்றுதல்		
18	154	unmatched				दहन देशः - क्रमश्च	தஹன இடம் - முறை		
19	169	unmatched				वपनम् -	வபனம்		
20	202	unmatched				केशधारणादिनियमः -	கேசதாரணம் முதலிய நியமம்		
21	215	confirmed	215	215	0.93	नग्नप्रच्छादन श्राद्धं -	நக்நப்ரச்சாதன சிராத்தம்	नग्नप्रच्छादन श्राद्धम्	
22	219	unmatched				उदकदानं एकोत्तर वृद्धिः -	உதக தானம் - ஏகோத்தர விருத்தி		
23	235	unmatched				पिण्डदानं -	பிண்ட தானம்		
24	251	confirmed	251		0.90	प्रेतशरीरोत्पत्तिः -	பிரேத உடல் தோற்றம்	प्रेतशरीरोत्पत्तिक्रमः -	
25	252	unmatched				आतुराश्वासनम् -	துக்கத்தை விசாரித்துத் தேற்றுதல்		
26	256	unmatched				एकोत्तरवृद्धि-नवश्राद्धक्रमः -	ஏகோத்தர விருத்தி நவசிராத்தங்கள்		
27	261	confirmed	261	261	1.00	आशौचिनियमः -	ஆசௌசிகளின் நியமம்	आशौचिनियमः -	
28	264	confirmed	264	265	0.86	अस्थिसञ्चयनम् -	அஸ்திஸஞ்சயனம்	अस्थिसञ्चयनक्रम:	
29	284	confirmed	284	284	1.00	प्रभूत बलिः -	பிரபூத பலி	प्रभूतबलिः ।	
30	287	unmatched				मध्ये दर्शादिसंभवे -	நடுவில் தர்சம் நேர்ந்தால்		
31	302	confirmed	302		0.80	पाषाणोत्थापनं -	பாஷாண் உத்தாபனம்	पाषाणोत्थापनक्रमः	
32	305	unmatched				मुख्यगौणकर्तृव्यवस्था -	முக்ய கௌண கர்த்தா நிலை		
33	307	unmatched				मुख्यकर्तर्यसन्निहिते -	முக்ய கர்த்தா அருகில் இல்லை		
34	320	unmatched				मृते पुनर्जीवति -	இறந்தவன் பிழைத்தெழுந்தால்		
35	353	confirmed	353		1.00	पुनर्दाहविधिः -	புநர்தஹனம்	पुनर्दाहविधिः	
36	371	unmatched				पुनः संस्कारः -	மறுபடி ஸம்ஸ்காரம்		
37	382	unmatched				मृति कालाज्ञाने -	மரண நேரம் அறியப்படாவிடில்		
38	398	unmatched				मातापित्रोः दशादिनान्तरे मरणे	தாயும் தந்தையும் பத்து நாட்களுள் மரித்தல்		
39	405	confirmed	405		0.87	दम्पत्योः सहमृत्यौ -	தம்பதி சேர்ந்து மரித்தால்	दम्पत्योः सहमृत्यौ क्रमः	
40	410	unmatched				सङ्घातमरणे -	பலர் சேர்ந்து மரித்தல்		
41	428	unmatched				पत्न्याः सहचित्यारोहे -	மனைவி கூட சிதையேறினால்		
42	441	unmatched				वृषभोत्सर्जनम् -	விருஷபோத்ஸர்ஜனம்		
43	449	unmatched				एकोद्दिष्टक्रमः -	ஏகோத்திஷ்ட முறை		
44	466	confirmed	466	466	1.00	आवृत्ताद्यमासिकम् -	ஆவ்ருத்த ஆத்யமாஸிகம்	आवृत्ताद्यमासिकम्	
45	475	confirmed	475	475	1.00	षोडश श्राद्धानि -	16 சிராத்தங்கள்	षोडशश्राद्धानि	
46	483	unmatched				मासिकादिषु आशौचप्रसक्तौ -	மாஸிகம் முதலியதின் இடையே வேறு ஆசௌசம் நேர்ந்தால்		
47	492	unmatched				सापिण्ड्य-मासिक-कालनिर्णयः	ஸபிண்டகரணம் மாஸிகம் - கால நிர்ணயம்		
48	505	unmatched				मासिक श्राद्धस्य एकोद्दिष्टपार्वणत्वनिर्णयः	மாஸிகம் பார்வணமாக ஏகோத்திஷ்டமாக ஆவது		
49	506	confirmed	506	506	0.87	प्रत्याब्दिकश्राद्धे पार्वणविधिः	- பிரத்யாப்திகத்தில் பார்வண முறை	प्रत्याब्दिके पार्वणविधिः	
50	517	unmatched				भगिन्यादीनां मासिकविधिः -	சகோதரி முதலானவர்க்கு மாஸிக முறை		
51	519	unmatched				सापिण्ड्यमनु एकोद्दिष्टे देववरणम् -	ஸபிண்டீயை ஒட்டிய ஏகோத்திஷ்டத்தில் விச்வே தேவர்கள்		
52	521	unmatched				महालये चतुर्दश्यां शस्त्रहतानां श्राद्धम् -	மஹாளய சதுர்தசியில் ஆயுதமரணமடைந்த வருக்கு சிராத்தம்		
53	526	unmatched				यतीनां पार्वणम् -	துறவிகளுக்குப் பார்வணம்		
54	532	confirmed	532		1.00	सपिण्डीकरणविधिः -	ஸபிண்டீகரணமுறை	सपिण्डीकरणविधिः	
55	553	unmatched				सपिण्डीकरणं विना कर्तुः शुभेऽनधिकारः -	ஸபிண்டீகரணம் செய்யாமல் சுபங்களில் கர்த்தாவிற்கு அதிகாரமின்மை		
56	555	unmatched				सपिण्डीकरणे अधिकारिणः तदर्हाश्च -	ஸபிண்டீகரணத்தில் அதிகாரி, அதைப் பெறத் தகுதி		
57	577	confirmed	577		1.00	सपिण्डीकरणप्रकारः -	ஸபிண்டீகரணமுறை	सपिण्डीकरणप्रकारः	
58	595	confirmed	594	595	1.00	मातृसापिण्ड्यविधिः -	மாத்ருஸாபிண்ட்ய விதி	मातृसापिण्ड्यविधिः	
59	601	unmatched				मातुः सापिण्ड्यम् -	தாயின் ஸபிண்டீகரணம்		
60	652	confirmed	652	652	0.83	सोदकुम्भश्राद्धम् -	ஸோதகும்ப சிராத்தம்	ஸோதகும்ப சிராத்த விதி.	
61	668	unmatched				मातापित्रोः मृतवत्सरे दर्शश्राद्धादिः	-மாதா பிதாக்களின் மரண ஆண்டில் தர்ச சிராத்தம் முதலியவை		
62	678	confirmed	678		0.86	मातापितृश्राद्धसन्निपाते -	தாய்-தந்தையரின் சிராத்தம் ஒரே நாளிலானால்	मातापितृश्राद्धद्वयसन्निपाते विधि:	
63	681	confirmed	681	682	0.90	अनेक श्राद्ध सन्निपाते -	அநேக சிராத்தங்கள் சேர்ந்தால்	அநேகம் சிராத்தங்கள் சேர்ந்தால் விதி.	
64	686	confirmed		686	0.95	सपिण्डश्राद्ध सन्निपाते -	ஸபிண்டர்களின் சிராத்தங்கள் சேர்ந்தால்	ஸபிண்டர்களின் சிராத்தங்கள் சேர்ந்தால் விதி.	
